# hostname;interval;timestamp;CPU;%user;%nice;%system;%iowait;%steal;%idle
isaacpi;1;2017-03-18 13:37:45 UTC;-1;0.25;0.00;0.00;0.00;0.00;99.75
isaacpi;1;2017-03-18 13:37:46 UTC;-1;0.00;0.00;0.00;0.00;0.00;100.00
isaacpi;1;2017-03-18 13:37:47 UTC;-1;0.25;0.00;0.00;0.00;0.00;99.75
isaacpi;1;2017-03-18 13:37:48 UTC;-1;0.00;0.00;0.00;0.00;0.00;100.00
isaacpi;1;2017-03-18 13:37:49 UTC;-1;0.00;0.00;0.75;1.75;0.00;97.50
isaacpi;1;2017-03-18 13:37:50 UTC;-1;0.00;0.00;0.25;0.00;0.00;99.75
isaacpi;1;2017-03-18 13:37:51 UTC;-1;0.00;0.00;0.25;0.00;0.00;99.75
isaacpi;1;2017-03-18 13:37:52 UTC;-1;0.00;0.00;0.25;0.00;0.00;99.75
isaacpi;1;2017-03-18 13:37:53 UTC;-1;0.00;0.00;0.00;0.00;0.00;100.00
isaacpi;1;2017-03-18 13:37:54 UTC;-1;0.00;0.00;0.00;0.00;0.00;100.00
isaacpi;1;2017-03-18 13:37:55 UTC;-1;0.00;0.00;0.25;0.25;0.00;99.50
isaacpi;1;2017-03-18 13:37:56 UTC;-1;0.25;0.00;0.00;0.00;0.00;99.75
isaacpi;1;2017-03-18 13:37:57 UTC;-1;0.00;0.00;0.00;0.00;0.00;100.00
isaacpi;1;2017-03-18 13:37:58 UTC;-1;0.00;0.00;0.00;0.00;0.00;100.00
isaacpi;1;2017-03-18 13:37:59 UTC;-1;24.18;0.00;6.30;0.00;0.00;69.52
isaacpi;1;2017-03-18 13:38:00 UTC;-1;22.42;0.00;3.53;0.50;0.00;73.55
isaacpi;1;2017-03-18 13:38:01 UTC;-1;23.94;0.00;3.24;0.00;0.00;72.82
isaacpi;1;2017-03-18 13:38:02 UTC;-1;24.18;0.00;2.02;0.00;0.00;73.80
isaacpi;1;2017-03-18 13:38:03 UTC;-1;24.31;0.00;3.26;0.00;0.00;72.43
isaacpi;1;2017-03-18 13:38:04 UTC;-1;23.38;0.00;2.49;0.00;0.00;74.13
isaacpi;1;2017-03-18 13:38:05 UTC;-1;28.72;0.00;1.51;0.25;0.00;69.52
isaacpi;1;2017-03-18 13:38:06 UTC;-1;0.50;0.00;0.25;0.00;0.00;99.25
isaacpi;1;2017-03-18 13:38:07 UTC;-1;0.25;0.00;0.25;0.00;0.00;99.50
isaacpi;1;2017-03-18 13:38:08 UTC;-1;0.00;0.00;0.25;0.00;0.00;99.75
isaacpi;1;2017-03-18 13:38:09 UTC;-1;0.25;0.00;0.25;0.00;0.00;99.49
isaacpi;1;2017-03-18 13:38:10 UTC;-1;0.75;0.00;1.00;0.25;0.00;98.00
isaacpi;1;2017-03-18 13:38:11 UTC;-1;0.50;0.00;1.01;0.00;0.00;98.49
